127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000821
127.0.0.1, 2014-07-21 22:13:46, GET, /welcome/default/sep, HTTP/1.1, 404, 0.016423
127.0.0.1, 2014-07-21 22:13:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
127.0.0.1, 2014-07-21 22:13:58, GET, /listemAlpha/default, HTTP/1.1, 200, 7.769239
127.0.0.1, 2014-07-21 22:14:02, GET, /listemAlpha/default/sep, HTTP/1.1, 200, 8.839083
127.0.0.1, 2014-07-21 22:46:06, GET, /listemAlpha/default, HTTP/1.1, 200, 5.771720
127.0.0.1, 2014-07-21 23:00:10, GET, /, HTTP/1.1, 303, 0.005332
127.0.0.1, 2014-07-21 23:00:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.154846
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000568
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001422
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001333
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000610
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000546
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003689
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002059
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001176
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.004402
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000555
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.006695
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000591
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000603
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002750
127.0.0.1, 2014-07-21 23:00:11, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000949
127.0.0.1, 2014-07-21 23:00:27, GET, /listemAlpha/default, HTTP/1.1, 500, 14.383927
127.0.0.1, 2014-07-21 23:00:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000452
127.0.0.1, 2014-07-21 23:00:30, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-00-13.7f0402b1-2434-4112-8774-347568db0b0a, HTTP/1.1, 200, 0.119171
127.0.0.1, 2014-07-21 23:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2014-07-21 23:00:47, GET, /, HTTP/1.1, 303, 0.002611
127.0.0.1, 2014-07-21 23:00:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.122808
127.0.0.1, 2014-07-21 23:01:01, GET, /listemAlpha/default, HTTP/1.1, 500, 11.861241
127.0.0.1, 2014-07-21 23:01:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2014-07-21 23:01:04, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-00-49.19e89a1a-0d88-4cb5-a86b-e5d36f69380c, HTTP/1.1, 200, 0.188774
127.0.0.1, 2014-07-21 23:01:04, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000624
127.0.0.1, 2014-07-21 23:01:04, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001012
127.0.0.1, 2014-07-21 23:01:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000508
127.0.0.1, 2014-07-21 23:04:23, GET, /, HTTP/1.1, 303, 0.000889
127.0.0.1, 2014-07-21 23:04:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.042279
127.0.0.1, 2014-07-21 23:04:32, GET, /listemAlpha/default/sep, HTTP/1.1, 500, 1.543910
127.0.0.1, 2014-07-21 23:04:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2014-07-21 23:04:34, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-04-30.f9554266-2ca1-4574-a873-05cdd8ec6e60, HTTP/1.1, 200, 0.059917
127.0.0.1, 2014-07-21 23:04:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000409
127.0.0.1, 2014-07-21 23:05:15, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-04-30.f9554266-2ca1-4574-a873-05cdd8ec6e60, HTTP/1.1, 200, 0.057629
127.0.0.1, 2014-07-21 23:05:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2014-07-21 23:08:21, GET, /, HTTP/1.1, 303, 0.002939
127.0.0.1, 2014-07-21 23:08:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.156173
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000560
